PETT-12;Asia/Kamchatka;International Date Line West
SST11;US/Samoa;Midway Island, Samoa
HST10;US/Hawaii;Hawaii
AKST9AKDT,M3.2.0,M11.1.0;US/Alaska;Alaska
PST8PDT,M3.2.0,M11.1.0;US/Pacific;Pacific Time (US/Canada), Tijuana
MST7;US/Arizona;Arizona
MST7MDT,M3.2.0,M11.1.0;US/Mountain;Mountain Time (US/Canada)
MST7MDT,M4.1.0,M10.5.0;America/Chihuahua;Chihuahua, Mazatlan
CST6CDT,M3.2.0,M11.1.0;US/Central;Central America
CST6CDT,M3.2.0,M11.1.0;Canada/Central;Central Time (US/Canada)
CST6CDT,M4.1.0,M10.5.0;America/Monterrey;Guadalajara, Mexico City, Monterrey
CST6;Canada/Saskatchewan;Saskatchewan
COT5;America/Bogota;Bogota, Lima, Quito
EST5EDT,M3.2.0,M11.1.0;US/Eastern;Eastern Time (US/Canada)
EST5EDT,M3.2.0,M11.1.0;US/East-Indiana;Indiana (East)
AST4ADT,M3.2.0,M11.1.0;Canada/Atlantic;Atlantic Time (Canada)
BOT4;America/La_Paz;Caracas, La Paz
CLT4;America/Santiago;Santiago
NST3:30NDT,M3.2.0,M11.1.0;Canada/Newfoundland;Newfoundland
BRT3;America/Araguaina;Brasilia
ART3;America/Argentina/Buenos_Aires;Buenos Aires, GeorgetownT
BRT3;America/Recife;GreenlandT
GST2;America/Godthab;Mid-AtlantiT
AZOT1AZOST,M3.5.0/0,M10.5.0/1;Atlantic/Azores;Azores, Cape Verde Is.
WET0WEST,M3.5.0/1,M10.5.0;Europe/Lisbon;Casablanca, Lisbon, Monrovia
GMT0BST,M3.5.0/1,M10.5.0;Europe/London;GMT: Dublin, Edinburgh, London
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Paris;Paris
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Amsterdam;Amsterdam, Bern, Rome, Stockholm
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Belgrade;Belgrade, Berlin, Budapest, Ljubljana
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Brussels;Brussels, Copenhagen, Madrid
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Bratislava;Bratislava, Prague, Vienna
CET-1CEST,M3.5.0,M10.5.0/3;Europe/Sarajevo;Sarajevo, Skopje, Warsaw, Zagreb
CET-1;Africa/Algiers;West Central Africaa
EET-2;Africa/Cairo;Bucharest, Cairo
CAT-2;Africa/Harare;Harare, Pretoria
EET-2EEST,M3.5.0/3,M10.5.0/4;Europe/Helsinki;Helsinki, Kyiv, Riga, Sofia, Tallinn, Vilnius
IST-2;Asia/Jerusalem;Jerusalem
AST-3;Asia/Baghdad;Baghdad, Kuwait, Riyadh
MSK-4;Europe/Moscow;Moscow, St. Petersburg, Volgograd
EAT-3;Indian/Mayotte;Mayotte
EAT-3;Africa/Nairobi;Nairobi
IRST-3:30;Asia/Tehran;Tehran
GST-4;Asia/Dubai;Abu Dhabi, Muscat
GET-4;Asia/Tbilisi;Baku, Tbilisi, Yerevan
AFT-4:30;Asia/Kabul;Kabul
YEKT-6;Asia/Yekaterinburg;Ekaterinburg
PKT-5;Asia/Karachi;Islamabad, Karachi, Tashkent
IST-5:30;Asia/Kolkata;Chennay, Kolkata, Mumbal, New Delhi
NPT-5:45;Asia/Katmandu;Katmandu
ALMT-6;Asia/Almaty;Almaty, Novosibirsko
BDT-6;Asia/Dhaka;Astana, Dhaka
MMT-6:30;Asia/Rangoon;Rangoon
ICT-7;Asia/Bangkok;Bangkok, Hanoi, Jakarta
KRAT-8;Asia/Krasnoyarsk;Krasnoyarsk
HKT-8;Asia/Hong_Kong;Beijing, Chongqing, Hong Kong, Urumqi
IRKT-9;Asia/Irkutsk;Irkutsk, Ulaan Bataar
SGT-8;Asia/Singapore;Kuala Lumpur, Singapore
CST-8;Asia/Taipei;Perth, Taipei
JST-9;Asia/Tokyo;Osaka, Sapporo, Tokyo
KST-9;Asia/Seoul;Seoul, Yakutsk
CST-9:30;Australia/Darwin;Adelaide, Darwin
EST-10;Australia/Brisbane;Brisbane
EST-10EST,M10.1.0,M4.1.0/3;Australia/Sydney;Canberra, Melbourne, Sydney
EST-10EST,M10.1.0,M4.1.0/3;Australia/Hobart;Hobart, Vladivosto
ChST-10;Pacific/Guam;Guam, Port Moresby
VUT-11;Pacific/Efate;Magadan, Solomon Is., New Caledonia
NZST-12NZDT,M9.5.0,M4.1.0/3;Pacific/Auckland;Auckland, Wellington
FJT-12;Pacific/Fiji;Fiji, Kamchatka, Marshall Is.
GMT0;Africa/Abidjan;GMT: Dublin, Edinburgh, London
GMT0;Africa/Accra;GMT: Dublin, Edinburgh, London
EAT-3;Africa/Addis_Ababa;Nairobi
EAT-3;Africa/Asmara;Nairobi
GMT0;Africa/Bamako;GMT: Dublin, Edinburgh, London
WAT-1;Africa/Bangui;West Central Africaa
GMT0;Africa/Banjul;GMT: Dublin, Edinburgh, London
GMT0;Africa/Bissau;GMT: Dublin, Edinburgh, London
CAT-2;Africa/Blantyre;Harare, Pretoria
WAT-1;Africa/Brazzaville;West Central Africaa
CAT-2;Africa/Bujumbura;Harare, Pretoria
WET0;Africa/Casablanca;GMT: Dublin, Edinburgh, London
CET-1CEST,M3.5.0,M10.5.0/3;Africa/Ceuta;Paris
GMT0;Africa/Conakry;GMT: Dublin, Edinburgh, London
GMT0;Africa/Dakar;GMT: Dublin, Edinburgh, London
EAT-3;Africa/Dar_es_Salaam;Nairobi
EAT-3;Africa/Djibouti;Nairobi
WAT-1;Africa/Douala;West Central Africaa
WET0;Africa/El_Aaiun;GMT: Dublin, Edinburgh, London
GMT0;Africa/Freetown;GMT: Dublin, Edinburgh, London
CAT-2;Africa/Gaborone;Harare, Pretoria
SAST-2;Africa/Johannesburg;Harare, Pretoria
EAT-3;Africa/Juba;Nairobi
EAT-3;Africa/Kampala;Nairobi
EAT-3;Africa/Khartoum;Nairobi
CAT-2;Africa/Kigali;Harare, Pretoria
WAT-1;Africa/Kinshasa;West Central Africaa
WAT-1;Africa/Lagos;West Central Africaa
WAT-1;Africa/Libreville;West Central Africaa
GMT0;Africa/Lome;GMT: Dublin, Edinburgh, London
WAT-1;Africa/Luanda;West Central Africaa
CAT-2;Africa/Lubumbashi;Harare, Pretoria
CAT-2;Africa/Lusaka;Harare, Pretoria
WAT-1;Africa/Malabo;West Central Africaa
CAT-2;Africa/Maputo;Harare, Pretoria
SAST-2;Africa/Maseru;Harare, Pretoria
SAST-2;Africa/Mbabane;Harare, Pretoria
EAT-3;Africa/Mogadishu;Nairobi
GMT0;Africa/Monrovia;GMT: Dublin, Edinburgh, London
WAT-1;Africa/Ndjamena;West Central Africaa
WAT-1;Africa/Niamey;West Central Africaa
GMT0;Africa/Nouakchott;GMT: Dublin, Edinburgh, London
GMT0;Africa/Ouagadougou;GMT: Dublin, Edinburgh, London
WAT-1;Africa/Porto-Novo;West Central Africaa
